CompanyName,regName,regNumber,RegDate,Jurisdiction,entType,status,address
Del Monte Corp.,"DEL MONTE ASSISTED LIVING HOME, LLC",L20875574,5/3/2016,AZ,Domestic LLC,Active, 
"Elam Construction, Inc.", , , , , , , 
Fleetwood Homes of Virginia, , , , , , , 
Fort Sanders Loudon Medical Center, , , , , , , 
Fujitsu Limited,"FUJITSU AMERICA, INC.",F09653488,11/7/2000,CA,Foreign For-Profit (Business) Corporation,Active, 
Gadsden Regional Medical Center, , , , , , , 
Gourmet Trading Company, , , , , , , 
Gwaltney of Smithfield Ltd. Inc., , , , , , , 
John Crane Inc.,JOHN CRANE INC.,F07933880,3/13/1997,DE,Foreign For-Profit (Business) Corporation,Active, 
Kinetic Concepts (Kci), , , , , , , 
King's Hawaiian, , , , , , , 
"Kronos Products, Inc", , , , , , , 
Kyowa Pharmaceutical, , , , , , , 
"Kyphon, Inc.",KYPHON INC.,F10271795,4/19/2002,DE,Foreign For-Profit (Business) Corporation,Inactive, 
"Kyphon, Inc.",KYPHON INC.,F10271795,4/19/2002,DE,Foreign For-Profit (Business) Corporation,Inactive, 
Kysor Panel Systems, , , , , , , 
Laramie County Community College, , , , , , , 
Lease Crutcher Lewis, , , , , , , 
Marietta Eye Clinic, , , , , , , 
Marywood University, , , , , , , 
MDC Holdings Inc.,"M.D.C. HOLDINGS, INC.",F00344291,7/30/1985,DE,Foreign For-Profit (Business) Corporation,Inactive, 
"MedImmune, Inc.", , , , , , , 
Medtronic Sofamor Danek,"MEDTRONIC SOFAMOR DANEK USA, INC.",F09384590,2/3/2000,TN,Foreign For-Profit (Business) Corporation,Active, 
MicroGroup Inc,MICROGROUP MANUFACTURING INCORPORATED,10201381,2/21/2002,AZ,Domestic For-Profit (Business) Corporation,Inactive, 
Moen Incorporated,"M O ENTERPRISES, INC.",00947865,,Arizona,Foreign For-Profit (Business) Corporation,Inactive, 
Mount San Rafael Hospital, , , , , , , 
Mount Sinai Medical Center, , , , , , , 
Navico Inc,NAVICOM CORPORATION,10621037,1/24/2003,AZ,Domestic For-Profit (Business) Corporation,Inactive, 
Northrop Grumman Xetron, , , , , , , 
Northwest Missouri State University, , , , , , , 
Northwest Nazarene University, , , , , , , 
Orbital Tool Technologies Corp, , , , , , , 
Paragon D&E, , , , , , , 
Paragon Films Inc, , , , , , , 
PBF Energy Inc., , , , , , , 
Pepsi Bottling Ventures LLC Co., , , , , , , 
Pepsi-Cola & National Brand, , , , , , , 
Pexco LLC,PEX COMMERCE PARK LLC,L17220646,11/28/2011,AZ,Domestic LLC,Active, 
Phoenix Metals Company,PHOENIX METAL SPINNING L.L.C.,L08795793,6/23/1999,AZ,Domestic LLC,Active, 
Phoenix Stamping Group LLC, , , , , , , 
Pine Hall Brick Company Inc, , , , , , , 
Pine Instrument Company, , , , , , , 
Rockline Industries Inc, , , , , , , 
Saint Joseph's Medical Center, , , , , , , 
Schumacher Electric Corp.,"SCHUMACHER ELECTRICAL CONTRACTING, INC.",11122611,1/13/2004,AZ,Domestic For-Profit (Business) Corporation,Active, 
Schupan & Sons Inc, , , , , , , 
Scranton Manufacturing Corporation Incorporated, , , , , , , 
"Screenlife, LLC", , , , , , , 
Select Specialty Hospital-Houston Height, , , , , , , 
Shands at AGH, , , , , , , 
Sierra-Kings District Hospital, , , , , , , 
Signature Breads Inc, , , , , , , 
Southwest Electronic Energy Corporation, , , , , , , 
Standex Engraving LLC, , , , , , , 
Sugar Cane Growers Cooperative, , , , , , , 
Tomkins PLC,A. TOMKINS & COMPANY LLC,L11050485,11/25/2003,AZ,Domestic LLC,Active, 
"Triumph Group, Inc.","THE TRIUMPH GROUP OPERATIONS, INC.",F00609749,5/30/2018,DE,Foreign For-Profit (Business) Corporation,Active, 
Trojan Battery Company,TROJAN BATTERY GUY AZ LLC,L20045704,,Arizona,Unidentified,Inactive, 
Tufco Technologies Inc., , , , , , , 
Vention Medical Company, , , , , , , 
Western Consolidated Techs, , , , , , , 
Western Forge, , , , , , , 
White Pine Electric Power LLC, , , , , , , 
"WhiteWave Foods, Inc.",THE WHITE WAVE FOODS COMPANY,F18920712,1/2/2014,DE,Foreign For-Profit (Business) Corporation,Active, 
Windermere Information Tchnlgy, , , , , , , 
YFYJupiter, , , , , , , 
YKK Corporation of America, , , , , , , 
