CompanyName,regName,regNumber,RegDate,Jurisdiction,entType,status,address
Ampro Molding,"Ampro Molding, LLC ",466 - 905,7-14-2005, ,Domestic Limited Liability Company,Dissolved,"BIRMINGHAM, AL"
Andalusia Regional Hospital, , , , , , , 
Anderson Electrical Connectors, , , , , , , 
Anniston Sportswear Corp.,Anniston Sportswear Corporation ,707 - 788,10-16-1946, ,Domestic Corporation,Merged,"ANNISTON, AL"
Arkay Plastics Alabama Inc.,"Arkay Plastics Alabama, Inc. ",174 - 161,8-21-1995, ,Domestic Corporation,Exists,"MONTGOMERY, AL"
Associated Pharmacies,"Associated Pharmacies, Inc. ",122 - 972,3-24-1988, ,Domestic Corporation,Exists,"SCOTTSBORO, AL"
Athens Limestone Hospital,"Athens Limestone Hospital Surgery Tower, LLC ",367 - 694,7-21-2016, ,Domestic Limited Liability Company,Exists,Not Provided
ATI,ATI Foundation ,384 - 959,4-11-2003, ,Foreign Non-Profit Corporation,Exists,"790 REMINGTON BLVD BOLINGBROOK, IL 60440"
ATI Alldyne, , , , , , , 
Atmore Community Hospital, , , , , , , 
Atrion Medical Products,"ATRION Medical Products, Inc. ",163 - 061,3-21-1994, ,Domestic Corporation,Dissolved,"ARAB, AL"
Auburn Investment Castings, , , , , , , 
Automatic Screw Machine Prods, , , , , , , 
Azko Nobel Functional Chem, , , , , , , 
Bailey-Harris Construction Co.,"Bailey-Harris Construction Co., Inc. ",055 - 683,3-12-1979, ,Domestic Corporation,Exists,"AUBURN, AL"
Baptist Cherokee Medical Center, , , , , , , 
Baptist Citizens Medical Center, , , , , , , 
Baptist Dekalb Medical Center, , , , , , , 
Baptist Medical Center East, , , , , , , 
Baptist Medical Center South, , , , , , , 
Baptist Shelby Medical Center, , , , , , , 
BE&K Engineering Company Inc., , , , , , , 
Beaulieu Group LLC,"Beaulieu Group, LLC ",600 - 404,12-4-1996, ,Foreign Limited Liability Company,Exists,"1502 CORONET DRIVE DALTON, GA 30720"
Bethea Power Products,"Bethea Power Products, Inc. ",119 - 911,10-12-1987, ,Domestic Corporation,Merged,"BIRMINGHAM, AL"
Bethea Power Products Corp., , , , , , , 
BF Goodrich Aerospace, , , , , , , 
Big Springs Inc.,"Big Springs, Inc. ",853 - 460,0-0-0, ,Foreign Corporation,Exists,"900 MARKET ST WILMINGTON, DE"
"Bouchard Insurance, Inc.","Roger Bouchard Insurance, Inc. ",927 - 206,4-11-1966, ,Foreign Corporation,Exists,"101 STARCREST DR CLEARWATER, FL 33765"
Bowe Industries Inc.,"Bowen Industries, Inc. ",862 - 444,0-0-0, ,Foreign Corporation,Revoked,"2030 TEXAS AVENUE EL PASO, TX 79901"
Bull Moose Tube Company, , , , , , , 
Bumble Bee Seafoods Inc.,"Bumble Bee Seafoods, Inc. ",720 - 310,0-0-0, ,Foreign Corporation,Withdrawn,"6TH STREET ASTORIA, OR"
Business Logic Corporation, , , , , , , 
Cairns Protective Clothing, , , , , , , 
Caitac Garment Processing Inc, , , , , , , 
Cal-Maine Foods Inc,"Cal-Maine Foods, Inc. ",851 - 177,0-0-0, ,Foreign Corporation,Withdrawn,"3320 WOODROW WILSON JACKSON, MS"
Cavin's Business Solutions Inc, , , , , , , 
Chem Art Co.,Burkart-Schier Chemical Co. ,721 - 719,0-0-0, ,Foreign Corporation,Withdrawn,"1412 HAMILTON NATL BANK BLDG KNOXVILLE, TN"
CHINESE HOSPITAL ASSOCIATION, , , , , , , 
"Chr. Hansen, Inc.","CHR. HANSEN, INC. ",365 - 261,2-14-1994, ,Foreign Corporation,Exists,"9015 WEST MAPLE STREET MILWAUKEE, WI 53214"
Cinram International Inc, , , , , , , 
Cintas Corp.,Cintas Corporation No.2 ,917 - 155,4-26-2000, ,Foreign Corporation,Exists,"6800 CINTAS BLVD CINCINNATI, OH 45262"
City of Hillsdale, , , , , , , 
"Colony Brands, Inc", , , , , , , 
Colorworks Graphic Services, , , , , , , 
"Cox Enterprises, Inc.","Glenn Cox Enterprises, Inc. ",216 - 874,6-7-2001, ,Domestic Corporation,Exists,"RAINBOW CITY, AL"
Cramer Coil & Transformer Co., , , , , , , 
Creative Loafing Inc, , , , , , , 
"Cricket Communications, Inc","Cricket Communications, Inc. ",918 - 852,9-16-1999, ,Foreign Limited Liability Company,Merged,"1025 LENOX PARK BLVD. NE ATLANTA, GA 30319"
Daily Press Inc.,"Daily Express, Inc. ",207 - 896,2-2-2000, ,Domestic Corporation,Exists,"WARRIOR, AL"
DCI Incorporated, , , , , , , 
"DCP Midstream, LLC","DCP Midstream Marketing, LLC ",614 - 706,4-25-1990, ,Foreign Limited Liability Company,Exists,"370 17TH ST STE 2500 DENVER, CO 80202"
DeBartolo Property Group LLC, , , , , , , 
Deceuninck North America LLC, , , , , , , 
Dekalb Medical Center, , , , , , , 
"Dentsply International, Inc.",DENTSPLY International Inc. ,936 - 492,2-15-1983, ,Foreign Corporation,Exists,"221 W PHILADELPHIA ST YORK, PA 17404"
DIXON TICONDEROGA COMPANY, , , , , , , 
Donalsonville Hospital, , , , , , , 
Donovan Data Systems Inc., , , , , , , 
DPS,"DPS, Inc. ",137 - 117,5-17-1990, ,Domestic Corporation,Exists,"JACKSONVILLE, AL"
Dry Creek Vineyard, , , , , , , 
Duni Supply Corp., , , , , , , 
"Dunkin' Brands, Inc","Dunkin' Brands, Inc. ",930 - 338,12-17-1973, ,Foreign Corporation,Exists,"130 ROYAL ST CANTON, MA 02021"
DX Marketing LLC,MedXMarketing LLC ,036 - 402,1-10-2012, ,Domestic Limited Liability Company,Exists,Not Provided
East Carolina Neurology Inc, , , , , , , 
East Carolina University, , , , , , , 
ECCO Corporation,American Pecco Corporation ,850 - 398,0-0-0, ,Foreign Corporation,Withdrawn,"SCHUMAN ROAD MILLWOOD VILLAGE, NY"
Era Helicopters LLC,"Era Helicopters, LLC ",608 - 366,10-21-2004, ,Foreign Limited Liability Company,Exists,"600 AIRPORT SERVICE RD LAKE CHARLES, LA 70607"
Federal Reserve Bank of Boston, , , , , , , 
Fieldale Farms Corp., , , , , , , 
Filtrona Richmond Inc., , , , , , , 
Financial Independence Group Inc,"Financial Independence Group, Inc. ",925 - 281,11-17-1982, ,Foreign Limited Liability Company,Exists,"19520 WEST CATAWBA AVE STE 200 CORNELIUS, NC 28031"
Fleenor Paper Company, , , , , , , 
Fortis,"Fortis, LLC ",073 - 550,8-14-2012, ,Domestic Limited Liability Company,Exists,Not Provided
"Framatome ANP, Inc.","Framatome ANP, Inc. ",919 - 037,4-24-1989, ,Foreign Corporation,Exists,"7207 IBM DRIVE CHARLOTTE, NC 28262"
Frame USA Inc, , , , , , , 
Franklin Precision Industry, , , , , , , 
G&J Pepsicola Bottling Co., , , , , , , 
General Dynamics SATCOM Technologies, , , , , , , 
Genta Inc.,"Magenta, Inc. ",185 - 109,1-28-1997, ,Domestic Corporation,Exists,"COLUMBIANA, AL"
Globeleq Ltd, , , , , , , 
GNU Inc.,"Gnu Arts, Inc. ",012 - 746,5-13-2011, ,Domestic Non-Profit Corporation,Exists,Not Provided
Gold Standard Baking Company, , , , , , , 
Golden State Foods,GOLDEN STATE FOODS CORP. ,331 - 199,5-5-1969, ,Foreign Corporation,Exists,"18301 VON KARMAN AVENUE STE 1100 IRVINE, CA 92612-1009"
Golden State Foods Corp.,GOLDEN STATE FOODS CORP. ,331 - 199,5-5-1969, ,Foreign Corporation,Exists,"18301 VON KARMAN AVENUE STE 1100 IRVINE, CA 92612-1009"
